ID,Name,Table_name,Type,Alias,Intro
223563eaa3dd11eb91291e0062022f71,Customer,Customer,TAB,快运企业客户数据,该表记录了客户的付款信息，包括客户信息、运输的费用信息等。
2235d5faa3dd11eb91291e0062022f71,客户账号,Customer,COL,客户账号,""
2235f65ca3dd11eb91291e0062022f71,运单数,Customer,COL,运单数,""
2236046ca3dd11eb91291e0062022f71,业务量,Customer,COL,业务量,""
22361308a3dd11eb91291e0062022f71,体积,Customer,COL,体积,""
22361d4ea3dd11eb91291e0062022f71,计费重量,Customer,COL,计费重量,""
22362c08a3dd11eb91291e0062022f71,重泡标识,Customer,COL,重泡标识,""
22363c5ca3dd11eb91291e0062022f71,主要始发站,Customer,COL,主要始发站,""
22364b84a3dd11eb91291e0062022f71,主要终点站,Customer,COL,主要终点站,""
22365660a3dd11eb91291e0062022f71,开始城市,Customer,COL,开始城市,""
223676d6a3dd11eb91291e0062022f71,终点城市,Customer,COL,终点城市,""
223687fca3dd11eb91291e0062022f71,服务类型,Customer,COL,服务类型,""
22369a62a3dd11eb91291e0062022f71,结算方式,Customer,COL,结算方式,""
2236a430a3dd11eb91291e0062022f71,收益站,Customer,COL,收益站,""
2236adeaa3dd11eb91291e0062022f71,收益,Customer,COL,收益,""
2236bb00a3dd11eb91291e0062022f71,近期合作月份_time,Customer,COL,近期合作月份,""
2236ca5aa3dd11eb91291e0062022f71,近期合作日期_time,Customer,COL,近期合作日期,""
2236d220a3dd11eb91291e0062022f71,创收站,Customer,COL,创收站,""
2236dab8a3dd11eb91291e0062022f71,流失情况,Customer,COL,流失情况,""
2236f372a3dd11eb91291e0062022f71,order,order,TAB,运单表,运单表记录了客户快运货物的详细信息，包括货物的件数，重量，体积以及下单时间等。
22373e7ca3dd11eb91291e0062022f71,﻿运单号,order,COL,运单号,""
22374ff2a3dd11eb91291e0062022f71,件数,order,COL,件数,""
22375ceaa3dd11eb91291e0062022f71,毛重,order,COL,毛重,""
22376866a3dd11eb91291e0062022f71,体积,order,COL,体积,""
223774b4a3dd11eb91291e0062022f71,计费重量,order,COL,计费重量,""
22377c84a3dd11eb91291e0062022f71,重泡标识,order,COL,重泡标识,""
2237856ca3dd11eb91291e0062022f71,始发站,order,COL,始发站,""
22378db4a3dd11eb91291e0062022f71,目的站,order,COL,目的站,""
22379656a3dd11eb91291e0062022f71,始发城市,order,COL,始发城市,""
2237a182a3dd11eb91291e0062022f71,目的城市,order,COL,目的城市,""
2237b00aa3dd11eb91291e0062022f71,运输类型,order,COL,运输类型,""
2237be92a3dd11eb91291e0062022f71,运单类型,order,COL,运单类型,""
2237d95ea3dd11eb91291e0062022f71,结算方式,order,COL,结算方式,""
2237e340a3dd11eb91291e0062022f71,客户账号,order,COL,客户账号,""
2237f100a3dd11eb91291e0062022f71,客户名称,order,COL,客户名称,""
2237fae2a3dd11eb91291e0062022f71,收入站,order,COL,收入站,""
223808c0a3dd11eb91291e0062022f71,收入金额,order,COL,收入金额,""
223816d0a3dd11eb91291e0062022f71,收入月份_time,order,COL,收入月份,""
2238244aa3dd11eb91291e0062022f71,录入站点,order,COL,录入站点,""
22383fe8a3dd11eb91291e0062022f71,superiorinstitution,order,COL,机构,""
22384b3ca3dd11eb91291e0062022f71,optype,order,COL,站点状态,""
2238542ea3dd11eb91291e0062022f71,superiorarea,order,COL,区域,""
22385c4ea3dd11eb91291e0062022f71,lat,order,COL,纬度,""
223864b4a3dd11eb91291e0062022f71,lng,order,COL,经度,""
22386cf2a3dd11eb91291e0062022f71,录入时间_time,order,COL,录入时间,""
22387544a3dd11eb91291e0062022f71,录入日期_time,order,COL,录入日期,""
22387d82a3dd11eb91291e0062022f71,签字日期_time,order,COL,签字日期,""
